"id","external_record_id","account_external_id","birthdate","department","email","first_name","last_name","title","created_at"
"CON_00000","CON_00000","ACC_0005","1990-01-01","IT","contact0@acc-0005.com","Thomas","Johnson","Developer","2025-01-10T09:00:00Z"
"CON_00001","CON_00001","ACC_0005","1980-06-11","IT","contact1@acc-0005.com","Patricia","Martinez","Developer","2025-01-10T14:00:00Z"
"CON_00002","CON_00002","ACC_0092","1991-07-07","IT","contact2@acc-0092.com","David","Rodriguez","Developer","2025-01-10T19:00:00Z"
"CON_00003","CON_00003","ACC_0092","1961-07-23","IT","contact3@acc-0092.com","Patricia","Jackson","Developer","2025-01-10T21:00:00Z"
"CON_00004","CON_00004","ACC_0092","1963-06-22","IT","contact4@acc-0092.com","William","Jones","Developer","2025-01-11T02:00:00Z"
"CON_00005","CON_00005","ACC_0092","2003-10-15","IT","contact5@acc-0092.com","Patricia","Gonzalez","Developer","2025-01-11T07:00:00Z"
"CON_00006","CON_00006","ACC_0023","1977-10-29","","contact6@acc-0023.com","Mary","Gonzalez","Developer","2025-01-11T09:00:00Z"
"CON_00007","CON_00007","ACC_0065","1982-08-27","","contact7@acc-0065.com","David","Williams","Developer","2025-01-11T14:00:00Z"
"CON_00008","CON_00008","ACC_0109","1960-03-08","","contact8@acc-0109.com","James","Gonzalez","Developer","2025-01-11T19:00:00Z"
"CON_00009","CON_00009","ACC_0109","1968-02-23","IT","contact9@acc-0109.com","Richard","Jones","Developer","2025-01-11T21:00:00Z"
"CON_00010","CON_00010","ACC_0109","1985-07-18","IT","contact10@acc-0109.com","Barbara","Wilson","Developer","2025-01-12T02:00:00Z"
"CON_00011","CON_00011","ACC_0053","1976-06-02","IT","contact11@acc-0053.com","Michael","Taylor","Developer","2025-01-12T07:00:00Z"
"CON_00012","CON_00012","ACC_0053","1995-10-19","IT","contact12@acc-0053.com","Robert","Thomas","Developer","2025-01-12T09:00:00Z"
"CON_00013","CON_00013","ACC_0053","1987-06-01","IT","contact13@acc-0053.com","Karen","Johnson","Developer","2025-01-12T14:00:00Z"
"CON_00014","CON_00014","ACC_0079","1995-08-14","IT","contact14@acc-0079.com","Linda","Lopez","Developer","2025-01-12T19:00:00Z"
"CON_00015","CON_00015","ACC_0046","1980-01-29","IT","contact15@acc-0046.com","Jennifer","Lopez","Developer","2025-01-12T21:00:00Z"
